"nome","nam_pedra","num_fase","_des_turma","num_inde","num_iaa","num_ieg","num_ips","num_ipv","num_ian","num_ida","num_ipp","ano","dat_reference","flg_ponto_virada"
ALUNO-1,Ametista,2,H,7.88,8.50,8.7,7.5,7.75,10,7,5.93,2020,2020-01-01,Não
ALUNO-3,Ametista,3,H,7.85,7.91,8.9,7.5,8.11,10,5.5,8.12,2020,2020-01-01,Não
ALUNO-4,Quartzo,1,D,5.07,8.00,4.1,6.87,7.75,5,0,7.18,2020,2020-01-01,Não
ALUNO-5,Ametista,2,M,8.07,7.50,8,7.5,8.16,10,7.5,8.43,2020,2020-01-01,Não
ALUNO-8,Ametista,4,L,8.38,8.33,9.9,4.37,8.94,10,7.33,8.74,2020,2020-01-01,Sim
ALUNO-10,Quartzo,3,B,5.16,5.83,5.2,3.75,6.83,10,0,7.96,2020,2020-01-01,Não
ALUNO-11,Topázio,0,A,9.71,9.00,10,8.12,10,10,10,10,2020,2020-01-01,Sim
ALUNO-12,Quartzo,3,G,5.83,6.25,6,5.62,5.27,5,6.66,5.62,2020,2020-01-01,Não
ALUNO-14,Ágata,2,M,6.43,8.00,7.6,6.87,7.91,10,0,8.43,2020,2020-01-01,Não
ALUNO-15,Quartzo,2,D,5.16,8.50,4,7.5,7.25,5,0,8.12,2020,2020-01-01,Não
ALUNO-17,Ametista,1,G,7.76,9.50,6.8,7.5,7.75,5,10,6.56,2020,2020-01-01,Não
ALUNO-18,Ágata,3,E,7.20,9.58,7,7.5,7.94,5,6.5,7.08,2020,2020-01-01,Não
ALUNO-28,Topázio,3,J,9.35,9.58,9.6,6.87,9.94,10,9,10,2020,2020-01-01,Sim
ALUNO-30,Ágata,0,C,7.12,7.91,10,7.5,6.91,10,4.75,2.5,2020,2020-01-01,Não
ALUNO-33,Ágata,3,E,7.01,6.66,4.5,7.5,6.27,10,8.66,7.08,2020,2020-01-01,Não
ALUNO-34,Ametista,2,C,7.69,8.50,9.3,6.87,7.94,5,7,8.12,2020,2020-01-01,Não
ALUNO-35,Ágata,7,B,6.64,8.75,6.1,6.25,8.29,5,5,7.65,2020,2020-01-01,Não
ALUNO-36,Ametista,3,C,8.30,9.58,9.9,7.5,8.22,5,8,8.74,2020,2020-01-01,Não
ALUNO-37,Ágata,2,N,6.67,10,7.7,4.37,7.77,10,2.5,6.45,2020,2020-01-01,Não
ALUNO-53,Topázio,5,X,8.69,9.16,10,7.5,0,10,8.2,0,2020,2020-01-01,Não
ALUNO-39,Ametista,3,F,8.13,6.24,9.4,7.5,6.77,10,8.33,8.54,2020,2020-01-01,Não
ALUNO-41,Ametista,1,D,7.46,8.00,8.3,7.5,7.75,5,7.25,7.5,2020,2020-01-01,Não
ALUNO-43,Ametista,4,F,7.80,7.5,7.5,7.5,8.04,10,7,7.96,2020,2020-01-01,Não
ALUNO-44,Ágata,1,M,6.21,9.00,6.8,7.5,7.91,10,0,6.25,2020,2020-01-01,Não
ALUNO-45,Ágata,1,G,6.63,8.50,1,7.5,7.75,5,10,7.81,2020,2020-01-01,Não
ALUNO-46,Ágata,0,C,6.96,9.50,10,7.5,7.58,10,0,7.5,2020,2020-01-01,Não
ALUNO-51,Topázio,0,D,8.95,9.50,9.8,7.5,7.41,10,10,8.12,2020,2020-01-01,Não
ALUNO-52,Ametista,2,F,8.18,10,8.6,6.25,8.22,10,7,7.91,2020,2020-01-01,Não
ALUNO-55,Ágata,6,C,6.87,0,9,7.5,8.66,5,6.33,8.28,2020,2020-01-01,Sim
ALUNO-57,Ametista,6,B,7.31,8.33,7.1,6.25,7.58,10,5.83,7.5,2020,2020-01-01,Não
ALUNO-59,Ágata,3,E,6.56,8.75,3.6,7.5,6.44,10,6,7.29,2020,2020-01-01,Não
ALUNO-60,Ametista,5,F,7.67,7.5,9.7,6.87,8.12,5,6.66,8.43,2020,2020-01-01,Não
ALUNO-61,Quartzo,1,N,5.60,9.00,6.5,7.5,7.33,5,0,6.87,2020,2020-01-01,Não
ALUNO-62,Ágata,2,L,6.33,7.91,6.9,7.5,7.5,5,3.5,7.08,2020,2020-01-01,Não
ALUNO-68,Quartzo,1,F,5.98,9.00,7.6,7.5,8,5,0,7.18,2020,2020-01-01,Não
ALUNO-71,Ametista,0,A,7.55,8.50,10,5,7.74,5,9.5,2.5,2020,2020-01-01,Não
ALUNO-75,Topázio,3,L,9.68,10,10,10,9.75,10,9,9.37,2020,2020-01-01,Sim
ALUNO-76,Topázio,0,B,8.95,8.91,10,10,6.58,10,10,7.5,2020,2020-01-01,Não
ALUNO-112,Ágata,3,H,6.44,7.91,6.8,4.37,7.61,5,5.33,7.70,2020,2020-01-01,Não
ALUNO-78,Ametista,1,A,7.35,9.50,9,7.5,7.66,5,5.5,7.18,2020,2020-01-01,Não
ALUNO-80,Ágata,2,N,6.49,6.91,9.2,7.5,7.44,10,0,7.29,2020,2020-01-01,Não
ALUNO-81,Ametista,4,L,7.38,5.41,8.8,7.5,9.11,5,6,8.12,2020,2020-01-01,Sim
ALUNO-82,Ametista,0,D,7.95,8.50,10,7.5,7.33,5,8.5,6.87,2020,2020-01-01,Não
ALUNO-83,Ametista,4,B,8.15,9.16,9.4,5.62,9.16,10,5.33,8.95,2020,2020-01-01,Sim
ALUNO-84,Topázio,0,B,8.75,9.00,10,10,6.99,10,8.5,7.5,2020,2020-01-01,Não
ALUNO-85,Ágata,0,D,7.26,9.50,9.9,2.5,6.66,5,10,2.5,2020,2020-01-01,Não
ALUNO-86,Quartzo,6,A,5.68,8.33,4.9,7.5,5.70,5,3.66,7.5,2020,2020-01-01,Não
ALUNO-87,Ametista,4,L,8.18,8.33,9.2,5.62,8.72,10,6.66,8.74,2020,2020-01-01,Sim
ALUNO-88,Topázio,2,D,9.04,10,9.4,7.5,9.58,10,9.5,5.93,2020,2020-01-01,Sim
ALUNO-89,Ametista,0,G,7.93,10,10,7.5,7.5,5,7.5,6.87,2020,2020-01-01,Não
ALUNO-90,Ágata,3,M,7.07,8.33,5.8,7.5,7.50,5,7.66,7.96,2020,2020-01-01,Não
ALUNO-91,Ágata,2,H,6.84,9.00,6.4,6.87,7.58,10,4.5,5.62,2020,2020-01-01,Não
ALUNO-94,Ágata,3,B,6.75,7.08,6,7.5,7.50,10,4,7.96,2020,2020-01-01,Não
ALUNO-95,Ametista,3,A,7.33,9.58,8.2,7.5,6.79,5,6.66,7.96,2020,2020-01-01,Não
ALUNO-96,Ágata,7,A,6.43,9.16,6.1,6.87,8.79,5,3,7.5,2020,2020-01-01,Sim
ALUNO-97,Ametista,2,D,7.39,9.50,8,7.5,7.75,5,6,8.43,2020,2020-01-01,Não
ALUNO-100,Ágata,1,M,6.90,9.00,6.5,4.37,7.91,5,7.5,6.87,2020,2020-01-01,Não
ALUNO-102,Ametista,1,J,7.96,8.00,8.5,7.5,7.83,10,7,7.5,2020,2020-01-01,Não
ALUNO-103,Topázio,0,F,8.59,9.00,10,7.5,7.33,10,8.5,7.81,2020,2020-01-01,Não
ALUNO-105,Topázio,3,B,8.51,9.16,9.6,7.5,7.66,10,8,7.96,2020,2020-01-01,Não
ALUNO-106,Ametista,0,H,8.45,9.50,10,7.5,7.5,5,10,7.5,2020,2020-01-01,Não
ALUNO-111,Ágata,3,L,6.85,7.91,7.7,7.5,7.87,5,4.5,7.96,2020,2020-01-01,Não
ALUNO-139,Ágata,5,L,6.10,9.16,5.8,7.5,5.49,5,4.33,8.12,2020,2020-01-01,Não
ALUNO-113,Ametista,1,M,7.69,8.50,8.8,7.5,7.91,5,7.5,7.5,2020,2020-01-01,Não
ALUNO-115,Quartzo,4,A,5.33,9.16,10,6.87,5.11,5,5.16,7.91,2020,2020-01-01,Não
ALUNO-117,Ametista,1,M,8.03,8.00,8.9,7.5,7.91,5,9.5,7.18,2020,2020-01-01,Não
ALUNO-118,Ametista,1,D,8.34,8.50,7.7,7.5,7.41,10,10,7.18,2020,2020-01-01,Não
ALUNO-120,Ametista,0,A,7.89,9.00,10,8.12,7.66,5,9.5,2.5,2020,2020-01-01,Não
ALUNO-125,Ágata,1,C,7.18,9.00,9,7.5,7.33,5,5,7.70,2020,2020-01-01,Não
ALUNO-128,Quartzo,0,G,5.85,7.41,10,5.62,3.50,5,5.5,2.5,2020,2020-01-01,Não
ALUNO-132,Ametista,4,F,7.34,8.75,6.5,7.5,6.95,10,6,8.28,2020,2020-01-01,Não
ALUNO-133,Ametista,0,D,8.42,10,9.8,7.5,7.5,5,10,7.18,2020,2020-01-01,Não
ALUNO-135,Ametista,1,A,7.79,9.00,8.4,7.5,7.25,10,6.5,7.18,2020,2020-01-01,Não
ALUNO-136,Quartzo,5,A,4.64,7.5,4,4.37,5.44,5,2,6.66,2020,2020-01-01,Não
ALUNO-145,Ametista,7,B,8.34,7.91,9.1,7.5,8.83,10,7.33,7.5,2020,2020-01-01,Sim
ALUNO-146,Ágata,1,C,6.38,10,7.2,7.5,7.33,10,0,7.29,2020,2020-01-01,Não
ALUNO-147,Quartzo,2,C,5.93,9.00,8,7.5,7.27,5,0,7.29,2020,2020-01-01,Não
ALUNO-149,Ágata,6,B,7.13,7.5,8.7,5.62,8.33,10,3,8.12,2020,2020-01-01,Não
ALUNO-151,Ametista,1,R,8.23,9.50,9.5,7.5,8.61,5,7.5,9.16,2020,2020-01-01,Não
ALUNO-152,Ametista,3,B,7.96,6.24,9,7.5,8.62,10,6.33,7.96,2020,2020-01-01,Não
ALUNO-153,Ametista,4,F,8.16,10,9,7.5,9.12,10,4.66,8.59,2020,2020-01-01,Sim
ALUNO-154,Quartzo,1,M,5.88,8.50,7.1,7.5,7.91,5,0,7.81,2020,2020-01-01,Não
ALUNO-156,Ágata,2,J,7.11,7.91,8.9,7.5,8.11,5,5,6.66,2020,2020-01-01,Não
ALUNO-157,Ágata,1,H,7.17,9.50,6.4,7.5,7.77,5,6.75,7.91,2020,2020-01-01,Não
ALUNO-158,Quartzo,3,E,6.06,9.16,5.9,3.75,6.61,5,5,7.70,2020,2020-01-01,Não
ALUNO-160,Quartzo,1,H,4.47,8.00,2.3,5,7.44,5,0,7.29,2020,2020-01-01,Não
ALUNO-161,Ametista,8,A,8.89,7.91,10,7.5,0,10,9,0,2020,2020-01-01,Não
ALUNO-162,Ametista,1,B,7.95,8.50,8.8,7.5,7.75,5,8.5,8.43,2020,2020-01-01,Não
