"idt_ra","des_fase","des_turma","num_idade","num_inde","nam_pedra","num_iaa","num_ian","num_ieg","num_ips","num_ida","des_indicado","des_atingiu_pv","num_ipv","nam_fase_ideal","num_defasagem","num_ano"
RA-1,7.0,A,19,5.783,Quartzo,8.3,5.0,4.1,5.6,4.0,Sim,Não,7.278,Fase 8 (Universitários),-1,2022
RA-2,7.0,A,17,7.055,Ametista,8.8,10.0,5.2,6.3,6.8,Não,Não,6.778,Fase 7 (3º EM),0,2022
RA-3,7.0,A,17,6.591,Ágata,0.0,10.0,7.9,5.6,5.6,Não,Não,7.556,Fase 7 (3º EM),0,2022
RA-4,7.0,A,17,5.951,Quartzo,8.8,10.0,4.5,5.6,5.0,Não,Não,5.278,Fase 7 (3º EM),0,2022
RA-5,7.0,A,17,7.427,Ametista,7.9,10.0,8.6,5.6,5.2,Não,Não,7.389,Fase 7 (3º EM),0,2022
RA-6,7.0,A,18,5.848,Quartzo,7.9,5.0,4.5,7.5,3.3,Sim,Não,7.222,Fase 8 (Universitários),-1,2022
RA-7,7.0,A,18,6.818,Ágata,0.0,5.0,8.4,7.5,7.6,Não,Não,7.667,Fase 8 (Universitários),-1,2022
RA-8,7.0,A,20,4.786,Quartzo,7.1,5.0,4.6,6.3,1.6,Não,Não,6.278,Fase 8 (Universitários),-1,2022
RA-9,7.0,A,18,8.109,Topázio,8.8,5.0,9.5,7.5,6.7,Sim,Sim,9.5,Fase 8 (Universitários),-1,2022
RA-10,7.0,A,18,5.784,Quartzo,8.3,5.0,5.2,5.0,4.1,Não,Não,7.056,Fase 8 (Universitários),-1,2022
RA-11,7.0,A,18,5.323,Quartzo,9.2,5.0,4.2,5.0,3.0,Não,Não,6.389,Fase 8 (Universitários),-1,2022
RA-12,7.0,A,17,4.832,Quartzo,0.0,10.0,4.0,6.9,1.5,Sim,Não,6.389,Fase 7 (3º EM),0,2022
RA-13,7.0,A,18,6.902,Ágata,7.9,5.0,7.4,7.5,4.7,Sim,Não,8.056,Fase 8 (Universitários),-1,2022
RA-14,7.0,D,21,6.793,Ágata,7.9,5.0,8.3,7.5,4.0,Sim,Não,7.75,Fase 8 (Universitários),-1,2022
RA-15,7.0,D,18,7.783,Ametista,8.8,5.0,10.0,7.5,7.3,Sim,Não,7.292,Fase 8 (Universitários),-1,2022
RA-16,7.0,D,19,6.112,Ágata,7.9,5.0,8.3,5.0,3.5,Sim,Não,6.333,Fase 8 (Universitários),-1,2022
RA-17,7.0,D,20,8.068,Topázio,8.8,5.0,10.0,7.5,7.8,Sim,Não,8.292,Fase 8 (Universitários),-1,2022
RA-18,7.0,D,19,7.226,Ametista,6.3,5.0,8.7,6.3,9.0,Sim,Não,6.875,Fase 8 (Universitários),-1,2022
RA-19,7.0,D,19,7.665,Ametista,7.9,5.0,9.5,7.5,8.0,Sim,Não,7.0,Fase 8 (Universitários),-1,2022
RA-20,7.0,D,19,7.535,Ametista,7.1,5.0,10.0,6.3,7.8,Sim,Não,7.167,Fase 8 (Universitários),-1,2022
RA-21,7.0,D,18,6.945,Ágata,9.6,5.0,9.2,7.5,3.8,Sim,Não,7.25,Fase 8 (Universitários),-1,2022
RA-22,6.0,A,17,7.474,Ametista,8.3,5.0,7.4,8.1,6.7,Não,Sim,8.833,Fase 7 (3º EM),-1,2022
RA-23,6.0,A,17,7.677,Ametista,8.3,5.0,8.2,8.1,6.7,Sim,Sim,8.556,Fase 7 (3º EM),-1,2022
RA-24,6.0,A,17,8.087,Topázio,9.2,5.0,7.9,6.9,8.6,Não,Sim,9.111,Fase 7 (3º EM),-1,2022
RA-25,6.0,A,17,7.979,Ametista,8.3,5.0,8.3,8.8,6.9,Sim,Sim,9.667,Fase 7 (3º EM),-1,2022
RA-26,6.0,A,17,8.677,Topázio,9.6,5.0,8.8,10.0,8.0,Sim,Sim,10.0,Fase 7 (3º EM),-1,2022
RA-27,6.0,A,17,7.124,Ametista,0.0,5.0,7.6,8.1,8.0,Não,Sim,9.111,Fase 7 (3º EM),-1,2022
RA-28,6.0,A,17,6.242,Ágata,7.9,5.0,6.1,7.5,5.0,Não,Não,6.333,Fase 7 (3º EM),-1,2022
RA-29,6.0,A,17,4.985,Quartzo,0.0,5.0,4.0,8.8,3.7,Sim,Não,7.611,Fase 7 (3º EM),-1,2022
RA-30,6.0,A,16,7.605,Ametista,8.8,10.0,6.4,7.5,7.5,Não,Não,7.333,Fase 6 (2º EM),0,2022
